Lufthygienisches ‹berwachungssystem Niedersachsen;
Jadebusen;;Feinstaub (PM10);;Stickstoffdioxid;;Stickstoffoxide;;Ozon;;Temperatur;;Luftdruck;;Windrichtung;;Windgeschwindigkeit;;Relative Feuchte;;Regendauer;;Globalstrahlung;;
19.01.2019;22:00;20,329; ;24,239;;25,066;;23,580;;-2,34;;1016,8;;102,2;;0,95;;95,2;;0;;0,0;;
19.01.2019;23:00;20,356; ;24,539;;30,993;;21,723;;-2,46;;1016,9;;109,0;;0,87;;95,9;;0;;0,0;;
20.01.2019;00:00;20,425; ;25,219;;26,525;;18,916;;-2,54;;1016,9;;100,8;;1,20;;98,0;;0;;0,0;;
20.01.2019;01:00;20,571; ;;*;;*;;*;-2,30;;1016,8;;113,2;;1,14;;97,4;;0;;0,0;;
20.01.2019;02:00;20,993; ;24,427;;28,374;;17,707;;-3,05;;1016,8;;124,5;;0,81;;98,5;;0;;0,0;;
20.01.2019;03:00;21,476; ;21,079;;22,116;;16,237;;-3,50;;1016,8;;99,6;;0,91;;99,7;;0;;0,0;;
20.01.2019;04:00;21,832; ;25,672;;26,671;;14,165;;-3,52;;1016,8;;102,1;;1,04;;100,0;;0;;0,0;;
20.01.2019;05:00;22,031; ;23,281;;26,002;;16,795;;-3,49;;1016,8;;103,2;;1,03;;99,9;;0;;0,0;;
20.01.2019;06:00;21,979; ;20,392;;22,920;;16,102;;-4,04;;1016,8;;113,6;;0,87;;100,0;;0;;0,0;;
20.01.2019;07:00;21,819; ;22,109;;23,050;;11,366;;-4,17;;1016,9;;99,3;;0,50;;100,0;;0;;0,0;;
20.01.2019;08:00;21,688; ;30,921;;38,285;;5,004;;-3,60;;1017,2;;114,0;;0,81;;100,0;;0;;0,0;;
20.01.2019;09:00;21,355; ;25,561;;36,230;;5,679;;-3,57;;1017,7;;76,2;;0,55;;100,0;;0;;8,4;;
20.01.2019;10:00;21,007; ;16,074;;24,510;;10,772;;-3,76;;1018,3;;95,8;;0,45;;100,0;;0;;35,5;;
20.01.2019;11:00;21,111; ;16,478;;26,941;;18,861;;-1,56;;1018,9;;112,1;;0,73;;99,5;;0;;139,1;;
20.01.2019;12:00;21,357; ;14,367;;18,285;;29,214;;-0,13;;1019,4;;86,2;;1,13;;95,6;;0;;97,4;;
20.01.2019;13:00;21,737; ;17,443;;26,263;;29,445;;0,44;;1019,3;;126,7;;1,32;;90,6;;0;;118,0;;
20.01.2019;14:00;21,949; ;15,059;;20,255;;37,390;;1,28;;1019,4;;118,2;;1,27;;82,7;;0;;143,7;;
20.01.2019;15:00;22,233; ;17,976;;24,052;;34,249;;1,33;;1019,5;;106,2;;1,16;;81,5;;0;;104,3;;
20.01.2019;16:00;22,592; ;18,595;;22,788;;35,355;;1,11;;1019,7;;83,5;;0,65;;81,1;;0;;60,2;;
20.01.2019;17:00;23,126; ;21,849;;27,770;;21,191;;0,52;;1020,1;;52,0;;0,53;;84,5;;0;;16,5;;
20.01.2019;18:00;23,377; ;21,593;;25,485;;17,052;;-1,76;;1020,4;;72,1;;0,57;;92,8;;0;;0,0;;
20.01.2019;19:00;23,615; ;24,566;;25,659;;9,749;;-2,76;;1020,7;;5,9;;0,49;;95,6;;0;;0,0;;
20.01.2019;20:00;23,818; ;27,278;;32,095;;6,517;;-3,88;;1021,1;;254,5;;0,26;;97,5;;0;;0,0;;
20.01.2019;21:00;24,692; ;30,023;;41,175;;4,417;;-4,37;;1021,6;;121,6;;0,59;;99,1;;0;;0,0;;
20.01.2019;22:00;26,113; ;34,716;;64,616;;4,045;;-4,43;;1021,9;;182,9;;0,72;;99,5;;0;;0,0;;
20.01.2019;23:00;27,209; ;34,142;;58,243;;2,963;E;-4,96;;1022,2;;224,8;;0,44;;100,0;;0;;0,0;;
21.01.2019;00:00;28,292; ;28,856;;61,203;;3,067;E;-5,44;;1022,5;;180,2;;0,79;;100,0;;0;;0,0;;
21.01.2019;01:00;28,929; ;30,014;;58,167;;2,687;E;-5,56;;1022,5;;204,4;;1,43;;100,0;;0;;0,0;;
21.01.2019;02:00;29,096; ;;*;;*;;*;-5,37;;1022,6;;214,3;;1,34;;100,0;;0;;0,0;;
21.01.2019;03:00;29,375; ;32,095;;38,340;;2,791;E;-5,37;;1022,4;;201,1;;1,65;;100,0;;0;;0,0;;
21.01.2019;04:00;29,788; ;31,151;;40,057;;2,679;E;-5,97;;1022,1;;204,7;;1,85;;100,0;;0;;0,0;;
21.01.2019;05:00;30,435; ;33,650;;37,727;;3,567;E;-5,50;;1021,3;;199,5;;2,85;;99,7;;0;;0,0;;
21.01.2019;06:00;31,056; ;31,915;;37,865;;2,337;E;-6,46;;1021,2;;216,7;;2,26;;99,7;;0;;0,0;;
21.01.2019;07:00;31,644; ;32,837;;44,893;;2,244;E;-6,42;;1021,2;;219,7;;2,51;;99,9;;0;;0,0;;
21.01.2019;08:00;32,115; ;33,850;;44,950;;2,364;E;-4,98;;1021,1;;212,1;;3,00;;100,0;;0;;0,0;;
21.01.2019;09:00;32,483; ;32,419;;46,879;;3,507;E;-4,58;;1020,9;;218,4;;2,76;;99,3;;0;;3,0;;
21.01.2019;10:00;32,884; ;29,697;;45,400;;6,747;;-3,76;;1020,9;;216,3;;3,04;;97,4;;0;;29,2;;
21.01.2019;11:00;32,943; ;29,568;;44,704;;9,108;;-2,71;;1020,8;;220,1;;3,41;;93,3;;0;;32,1;;
21.01.2019;12:00;33,249; ;25,074;;44,157;;12,838;;-1,80;;1020,4;;215,8;;3,49;;94,4;;0;;92,8;;
21.01.2019;13:00;33,556; ;24,300;;45,393;;12,799;;-0,82;;1019,9;;224,7;;3,82;;96,1;;0;;113,6;;
21.01.2019;14:00;33,926; ;21,899;;42,922;;14,731;;0,21;;1019,5;;226,5;;3,62;;95,9;;0;;158,9;;
21.01.2019;15:00;34,182; ;21,517;;40,551;;16,828;;1,51;;1018,8;;223,9;;3,42;;92,4;;0;;176,7;;
21.01.2019;16:00;34,382; ;23,910;;38,696;;14,100;;1,54;;1018,4;;220,3;;3,18;;92,3;;0;;92,5;;
21.01.2019;17:00;34,478; ;27,697;;39,569;;7,758;;0,44;;1018,2;;214,9;;2,76;;96,1;;0;;15,3;;
21.01.2019;18:00;34,702; ;33,800;;42,913;;2,993;E;-0,44;;1017,8;;215,8;;2,75;;98,6;;0;;0,0;;
21.01.2019;19:00;34,969; ;34,611;;44,470;;2,110;E;-1,12;;1017,5;;217,1;;2,77;;99,8;;0;;0,0;;
21.01.2019;20:00;35,406; ;36,411;;52,679;;2,095;E;-1,86;;1017,3;;216,3;;2,66;;100,0;;0;;0,0;;
21.01.2019;21:00;35,306; ;36,988;;54,800;;2,106;E;-2,42;;1016,9;;226,9;;2,38;;100,0;;0;;0,0;;
21.01.2019;22:00;34,630; ;37,478;;57,335;;2,165;E;-2,59;;1016,6;;224,4;;2,10;;100,0;;0;;0,0;;
21.01.2019;23:00;34,173; ;39,818;;61,124;;1,847;E;-2,25;;1016,2;;212,6;;1,75;;100,0;;0;;0,0;;
22.01.2019;00:00;33,646; ;40,887;;58,946;;2,013;E;-1,37;;1015,7;;202,4;;1,60;;100,0;;0;;0,3;;
22.01.2019;01:00;33,396; ;42,192;;59,185;;2,022;E;-1,18;;1014,9;;206,8;;2,08;;99,4;;0;;0,0;;
22.01.2019;02:00;33,388; ;43,985;;68,644;;2,068;E;-1,59;;1014,1;;206,6;;2,41;;99,1;;0;;0,0;;
22.01.2019;03:00;33,237; ;;*;;*;;*;-0,56;;1013,2;;196,6;;3,43;;96,6;;0;;0,0;;
22.01.2019;04:00;32,963; ;47,138;;76,796;;2,086;E;-0,66;;1012,4;;189,7;;3,61;;95,8;;0;;0,0;;
22.01.2019;05:00;32,505; ;47,797;;77,424;;2,169;E;-1,47;;1011,7;;175,3;;2,90;;96,3;;0;;0,0;;
22.01.2019;06:00;32,142; ;51,217;;88,331;;2,181;E;-1,94;;1010,9;;162,0;;2,85;;96,9;;0;;0,0;;
22.01.2019;07:00;31,865; ;54,696;;96,418;;2,081;E;-2,17;;1010,3;;163,2;;3,50;;94,8;;0;;0,0;;
22.01.2019;08:00;31,673; ;54,755;;98,075;;2,228;E;-2,51;;1009,6;;160,1;;3,72;;92,6;;0;;0,0;;
22.01.2019;09:00;31,777; ;54,880;;110,676;;2,956;E;-2,85;;1008,9;;158,5;;4,52;;90,7;;0;;8,6;;
22.01.2019;10:00;31,832; ;53,327;;108,706;;5,695;;-2,76;;1008,2;;159,3;;4,45;;87,0;;0;;51,8;;
22.01.2019;11:00;31,679; ;43,599;;77,007;;13,957;;-2,18;;1007,6;;161,2;;5,21;;78,2;;0;;126,2;;
22.01.2019;12:00;31,377; ;36,545;;63,551;;20,396;;-1,45;;1006,6;;157,2;;5,22;;73,5;;0;;174,5;;
22.01.2019;13:00;31,016; ;30,487;;51,250;;24,806;;-0,61;;1005,5;;151,0;;4,71;;70,3;;0;;170,0;;
22.01.2019;14:00;30,707; ;27,734;;42,545;;26,939;;-0,21;;1004,5;;153,5;;5,00;;69,2;;0;;144,5;;
22.01.2019;15:00;30,410; ;23,768;;32,653;;30,646;;0,20;;1003,5;;157,4;;4,86;;65,7;;0;;115,8;;
22.01.2019;16:00;30,044; ;24,118;;28,911;;34,701;;0,36;;1002,8;;161,6;;5,42;;61,6;;0;;56,3;;
22.01.2019;17:00;29,758; ;25,240;;28,768;;32,092;;0,12;;1002,6;;161,2;;4,79;;64,6;;0;;13,8;;
22.01.2019;18:00;29,696; ;26,546;;30,304;;24,780;;-0,30;;1002,2;;156,6;;4,36;;72,0;;0;;0,0;;
22.01.2019;19:00;29,765; ;29,959;;32,143;;21,487;;-0,44;;1001,9;;155,6;;4,51;;74,5;;0;;0,0;;
22.01.2019;20:00;29,810; ;30,312;;31,880;;19,903;;-0,73;;1001,7;;159,0;;5,02;;75,5;;0;;0,0;;
22.01.2019;21:00;30,002; ;30,121;;31,659;;19,702;;-1,08;;1001,5;;159,1;;4,54;;76,0;;0;;0,0;;
22.01.2019;22:00;30,202; ;28,221;;29,393;;20,013;;-1,46;;1001,3;;160,8;;4,55;;77,5;;0;;0,0;;
22.01.2019;23:00;30,380; ;28,610;;29,735;;18,049;;-1,63;;1001,1;;158,5;;4,29;;78,6;;0;;0,0;;
23.01.2019;00:00;30,510; ;30,062;;31,017;;16,245;;-1,79;;1000,8;;159,0;;4,58;;79,2;;0;;0,0;;
23.01.2019;01:00;30,652; ;32,469;;33,448;;13,371;;-1,98;;1000,7;;166,3;;4,33;;80,7;;0;;0,0;;
23.01.2019;02:00;30,738; ;33,027;;33,895;;13,059;;-2,28;;1000,2;;168,6;;4,19;;82,3;;0;;0,0;;
23.01.2019;03:00;30,834; ;28,719;;29,901;;16,142;;-2,56;;1000,2;;159,8;;3,43;;82,5;;0;;0,0;;
23.01.2019;04:00;31,002; ;;*;;*;;*;-2,59;;1000,0;;163,2;;3,59;;83,4;;0;;0,0;;
23.01.2019;05:00;31,194; ;23,462;;25,051;;19,100;;-3,01;;999,9;;155,8;;2,49;;85,3;;0;;0,0;;
23.01.2019;06:00;31,317; ;22,775;;25,028;;19,508;;-3,23;;1000,0;;146,5;;2,37;;87,2;;0;;0,0;;
23.01.2019;07:00;31,424; ;29,115;;41,939;;12,587;;-3,42;;1000,2;;136,1;;1,95;;89,2;;0;;0,0;;
23.01.2019;08:00;31,571; ;29,750;;40,277;;10,150;;-3,77;;1000,5;;132,9;;2,19;;91,6;;0;;0,0;;
23.01.2019;09:00;31,623; ;30,258;;41,789;;9,073;;-4,16;;1001,1;;135,6;;2,42;;91,4;;0;;3,8;;
23.01.2019;10:00;31,773; ;31,101;;44,115;;8,878;;-4,03;;1001,5;;122,6;;2,26;;90,9;;0;;21,7;;
23.01.2019;11:00;32,317; ;26,498;;37,698;;11,618;;-4,12;;1002,0;;114,1;;1,97;;91,2;;0;;41,8;;
23.01.2019;12:00;33,026; ;21,073;;33,335;;18,182;;-3,38;;1002,2;;117,5;;2,14;;88,5;;0;;137,7;;
23.01.2019;13:00;33,730; ;17,177;;30,702;;23,122;;-2,54;;1002,3;;116,7;;2,26;;82,8;;0;;180,2;;
23.01.2019;14:00;34,431; ;17,995;;29,457;;25,440;;-2,43;;1002,5;;113,9;;2,34;;80,3;;0;;168,0;;
23.01.2019;15:00;35,297; ;20,623;;31,058;;22,523;;-2,70;;1002,7;;95,3;;2,42;;81,1;;0;;157,7;;
23.01.2019;16:00;36,524; ;25,519;;32,955;;16,512;;-3,57;;1003,0;;81,2;;2,76;;86,9;;0;;65,6;;
23.01.2019;17:00;37,665; ;27,802;;33,297;;15,498;;-4,09;;1003,7;;97,6;;1,90;;88,4;;0;;16,5;;
23.01.2019;18:00;38,583; ;39,918;;58,579;;3,879;E;-4,14;;1004,3;;96,1;;1,68;;89,2;;0;;0,0;;
23.01.2019;19:00;39,316; ;26,541;;30,125;;20,936;;-3,89;;1004,9;;99,4;;2,20;;88,2;;0;;0,0;;
23.01.2019;20:00;40,191; ;24,718;;26,691;;25,478;;-3,77;;1005,6;;97,9;;1,51;;87,4;;0;;0,0;;
23.01.2019;21:00;41,052; ;23,734;;24,577;;27,777;;-3,89;;1005,9;;90,8;;1,74;;87,9;;0;;0,0;;
23.01.2019;22:00;41,778; ;20,392;;21,602;;33,873;;-4,19;;1006,3;;108,6;;1,56;;88,5;;0;;0,0;;
23.01.2019;23:00;42,559; ;19,903;;20,646;;35,113;;-4,34;;1006,6;;94,6;;1,64;;89,3;;0;;0,0;;
24.01.2019;00:00;43,272; ;17,952;;18,833;;38,602;;-4,35;;1007,1;;129,1;;1,42;;88,6;;0;;0,0;;
24.01.2019;01:00;44,047; ;17,191;;18,012;;39,836;;-4,37;;1007,8;;158,5;;1,69;;88,1;;0;;0,0;;
24.01.2019;02:00;44,871; ;16,466;;17,019;;40,690;;-4,41;;1008,3;;153,1;;2,25;;87,8;;0;;0,0;;
24.01.2019;03:00;45,642; ;15,383;;16,006;;42,553;;-4,58;;1008,9;;151,8;;2,49;;87,6;;0;;0,0;;
24.01.2019;04:00;46,352; ;24,831;;27,554;;31,706;;-4,52;;1009,2;;159,7;;2,44;;86,5;;0;;0,0;;
24.01.2019;05:00;47,166; ;;*;;*;;*;-4,28;;1009,3;;158,6;;2,48;;84,9;;0;;0,0;;
24.01.2019;06:00;48,263; ;24,113;;25,676;;31,515;;-4,07;;1009,5;;161,7;;2,29;;84,0;;0;;0,0;;
24.01.2019;07:00;49,659; ;27,358;;34,657;;28,274;;-4,02;;1010,0;;155,2;;2,02;;83,9;;0;;0,0;;
24.01.2019;08:00;51,335; ;30,855;;37,170;;24,665;;-4,29;;1010,4;;152,9;;2,44;;84,5;;0;;0,0;;
24.01.2019;09:00;53,458; ;34,128;;39,430;;19,299;;-4,80;;1011,1;;135,3;;2,84;;87,1;;0;;1,6;;
24.01.2019;10:00;55,350; ;34,478;;41,823;;19,955;;-5,67;;1011,9;;134,8;;2,54;;89,3;;11;;10,0;;
24.01.2019;11:00;56,638; ;27,968;;35,779;;25,486;;-6,15;;1012,3;;141,1;;2,42;;89,9;;19;;28,1;;
24.01.2019;12:00;57,314; ;19,125;;27,734;;34,750;;-5,94;;1012,3;;144,7;;2,43;;87,0;;11;;102,9;;
24.01.2019;13:00;57,153; ;19,186;;25,232;;42,232;;-5,30;;1012,3;;163,1;;3,56;;80,0;;0;;106,1;;
24.01.2019;14:00;56,995; ;16,942;;22,538;;43,550;;-5,02;;1012,5;;178,8;;2,91;;80,3;;0;;68,5;;
24.01.2019;15:00;56,866; ;18,327;;23,437;;42,755;;-4,99;;1012,5;;199,2;;2,41;;80,0;;0;;54,2;;
24.01.2019;16:00;56,607; ;21,777;;28,847;;37,724;;-5,14;;1012,5;;223,7;;1,53;;83,0;;7;;29,7;;
24.01.2019;17:00;56,407; ;26,250;;34,062;;30,772;;-5,08;;1012,6;;232,4;;1,18;;84,4;;0;;8,9;;
24.01.2019;18:00;56,189; ;26,715;;32,145;;27,695;;-5,24;;1013,2;;258,5;;1,72;;86,5;;0;;0,1;;
24.01.2019;19:00;56,085; ;29,975;;35,547;;22,900;;-5,40;;1013,8;;268,0;;1,75;;86,1;;0;;0,0;;
24.01.2019;20:00;55,710; ;27,401;;31,573;;23,888;;-5,45;;1014,2;;271,6;;1,84;;85,8;;0;;0,0;;
24.01.2019;21:00;55,306; ;20,077;;22,185;;28,971;;-5,41;;1014,5;;282,0;;1,49;;85,9;;0;;0,0;;
24.01.2019;22:00;55,067; ;17,166;;19,636;;28,954;;-5,32;;1014,5;;266,7;;1,11;;86,5;;0;;0,0;;
24.01.2019;23:00;54,818; ;17,285;;18,077;;27,844;;-5,27;;1014,6;;296,6;;1,55;;87,0;;0;;0,0;;
25.01.2019;00:00;54,638; ;15,518;;16,945;;28,996;;-5,12;;1014,9;;281,7;;1,13;;86,7;;0;;0,0;;
25.01.2019;01:00;54,588; ;15,907;;16,617;;26,269;;-5,08;;1015,1;;250,1;;1,72;;88,4;;0;;0,0;;
25.01.2019;02:00;54,715; ;19,959;;20,687;;22,979;;-5,23;;1014,9;;249,0;;2,23;;88,5;;0;;0,0;;
25.01.2019;03:00;54,968; ;21,544;;23,152;;20,464;;-5,23;;1014,9;;251,0;;2,04;;89,2;;0;;0,0;;
25.01.2019;04:00;55,125; ;17,126;;17,779;;26,021;;-5,23;;1014,9;;253,0;;1,81;;87,8;;0;;0,0;;
25.01.2019;05:00;55,165; ;17,248;;17,825;;26,366;;-5,26;;1014,7;;245,8;;1,84;;87,8;;0;;0,0;;
25.01.2019;06:00;54,874; ;15,339;;17,908;;28,207;;-5,50;;1014,8;;239,2;;1,64;;87,9;;0;;0,0;;
25.01.2019;07:00;54,269; ;20,499;;28,983;;25,649;;-5,62;;1015,0;;255,8;;1,59;;87,5;;0;;0,0;;
25.01.2019;08:00;53,333; ;18,964;;23,185;;25,939;;-5,69;;1014,8;;216,5;;2,08;;87,5;;0;;0,0;;
25.01.2019;09:00;52,032; ;26,190;;30,959;;16,274;;-6,13;;1015,0;;207,1;;2,35;;90,2;;0;;4,9;;
25.01.2019;10:00;50,981; ;24,599;;32,443;;16,362;;-5,96;;1014,9;;209,2;;2,26;;91,4;;0;;48,3;;
25.01.2019;11:00;50,507; ;19,848;;27,794;;23,415;;-5,29;;1014,7;;217,0;;3,19;;88,9;;0;;102,6;;
25.01.2019;12:00;50,520; ;18,799;;27,420;;29,833;;-4,47;;1014,2;;202,5;;3,30;;83,1;;0;;152,2;;
25.01.2019;13:00;51,189; ;20,396;;28,632;;33,470;;-4,01;;1013,3;;180,1;;5,03;;78,6;;0;;121,9;;
25.01.2019;14:00;52,032; ;33,945;;51,761;;24,592;;-3,87;;1012,7;;182,7;;4,90;;76,4;;0;;142,1;;
25.01.2019;15:00;52,827; ;44,397;;62,647;;16,580;;-3,59;;1011,7;;186,9;;4,83;;76,7;;0;;73,6;;
25.01.2019;16:00;53,549; ;50,368;;68,573;;10,788;;-3,27;;1011,0;;187,5;;4,59;;77,4;;0;;32,5;;
25.01.2019;17:00;54,357; ;53,021;;68,533;;5,453;;-3,55;;1010,5;;179,8;;4,31;;87,8;;43;;4,7;;
25.01.2019;18:00;55,063; ;52,716;;62,284;;4,237;;-3,76;;1009,4;;163,4;;4,70;;98,9;;56;;0,3;;
25.01.2019;19:00;54,913; ;38,518;;40,840;;14,319;;-3,37;;1008,0;;157,7;;4,70;;100,0;;51;;0,4;;
25.01.2019;20:00;54,343; ;33,489;;35,151;;16,607;;-2,75;;1006,7;;162,4;;5,37;;100,0;;23;;0,7;;
25.01.2019;21:00;53,585; ;39,211;;41,170;;11,211;;-1,88;;1005,6;;173,4;;4,84;;100,0;;0;;0,6;;
25.01.2019;22:00;52,475; ;35,514;;40,125;;12,613;;-0,54;;1004,5;;190,8;;4,78;;100,0;;0;;0,4;;
25.01.2019;23:00;51,099; ;;*;;*;;*;0,32;;1004,1;;209,3;;4,34;;100,0;;0;;0,3;;
26.01.2019;00:00;49,629; ;35,188;;36,115;;10,523;;1,04;;1003,7;;221,3;;3,88;;100,0;;0;;0,6;;
26.01.2019;01:00;47,894; ;35,817;;36,620;;9,649;;1,40;;1003,4;;225,6;;3,14;;100,0;;0;;0,5;;
26.01.2019;02:00;45,843; ;27,489;;28,123;;20,741;;1,99;;1003,2;;237,5;;3,09;;100,0;;0;;0,4;;
26.01.2019;03:00;43,665; ;17,594;;18,139;;34,051;;2,28;;1003,1;;238,3;;3,20;;100,0;;0;;0,0;;
26.01.2019;04:00;41,603; ;11,039;;12,088;;45,408;;2,59;;1002,8;;241,1;;3,21;;100,0;;14;;0,1;;
26.01.2019;05:00;39,473; ;9,240;;9,886;;51,985;;3,16;;1002,7;;249,4;;2,92;;100,0;;42;;0,3;;
26.01.2019;06:00;37,353; ;10,096;;10,752;;49,036;;3,17;;1002,0;;203,7;;1,49;;100,0;;60;;0,3;;
26.01.2019;07:00;35,145; ;18,279;;20,754;;31,800;;2,71;;1001,2;;179,7;;1,83;;100,0;;60;;0,5;;
26.01.2019;08:00;32,896; ;18,879;;21,207;;28,305;;2,89;;1000,6;;155,9;;2,04;;100,0;;60;;0,7;;
26.01.2019;09:00;30,498; ;24,308;;27,949;;18,898;;2,73;;1000,4;;157,9;;2,06;;100,0;;46;;3,2;;
26.01.2019;10:00;28,088; ;25,682;;31,494;;15,957;;2,97;;1000,3;;170,0;;1,95;;100,0;;13;;22,7;;
26.01.2019;11:00;25,635; ;19,726;;25,008;;25,570;;3,99;;1000,4;;218,9;;1,65;;100,0;;27;;40,5;;
26.01.2019;12:00;23,249; ;10,733;;14,548;;42,104;;5,33;;1000,4;;261,6;;3,02;;100,0;;60;;53,8;;
26.01.2019;13:00;21,133; ;9,179;;11,579;;45,740;;5,74;;1000,1;;248,9;;3,28;;100,0;;60;;40,0;;
26.01.2019;14:00;18,972; ;8,492;;10,700;;50,389;;5,91;;999,6;;252,1;;5,11;;100,0;;60;;34,9;;
26.01.2019;15:00;16,648; ;8,554;;10,279;;50,718;;6,28;;999,1;;246,8;;4,94;;100,0;;52;;36,3;;
26.01.2019;16:00;14,278; ;7,479;;8,631;;51,610;;6,25;;998,5;;238,7;;5,02;;100,0;;25;;23,5;;
26.01.2019;17:00;11,834; ;8,837;;9,995;;48,144;;5,87;;998,0;;228,6;;5,04;;100,0;;0;;5,5;;
26.01.2019;18:00;9,512; ;8,732;;9,852;;49,099;;5,67;;997,5;;225,8;;5,21;;100,0;;0;;0,6;;
26.01.2019;19:00;7,957; ;9,027;;9,840;;49,997;;5,51;;996,7;;217,2;;4,28;;100,0;;0;;0,4;;
26.01.2019;20:00;6,984; ;10,732;;11,361;;48,187;;5,34;;995,7;;211,0;;4,50;;100,0;;0;;0,4;;
26.01.2019;21:00;6,264; ;10,030;;10,683;;50,704;;5,01;;994,7;;199,1;;4,62;;100,0;;0;;0,4;;
26.01.2019;22:00;5,797; ;8,725;;9,465;;53,966;;4,74;;993,5;;197,4;;5,00;;100,0;;2;;0,3;;
26.01.2019;23:00;5,646; ;9,449;;9,939;;52,778;;4,92;;992,3;;195,7;;5,26;;100,0;;7;;0,2;;
27.01.2019;00:00;5,662; ;;*;;*;;*;5,10;;991,3;;185,8;;4,74;;100,0;;26;;0,3;;
27.01.2019;01:00;5,675; ;9,813;;10,214;;48,875;;5,33;;990,1;;185,2;;5,25;;100,0;;7;;0,3;;
27.01.2019;02:00;5,823; ;7,229;;7,652;;53,934;;5,64;;988,9;;189,5;;5,34;;100,0;;15;;0,3;;
27.01.2019;03:00;5,940; ;6,586;;6,862;;57,577;;5,71;;987,7;;185,7;;5,79;;100,0;;24;;0,2;;
27.01.2019;04:00;6,056; ;6,513;;6,785;;57,652;;5,43;;986,4;;175,8;;5,61;;100,0;;37;;0,2;;
27.01.2019;05:00;6,285; ;7,438;;7,834;;54,283;;5,14;;985,1;;175,7;;5,66;;100,0;;39;;0,3;;
27.01.2019;06:00;6,554; ;8,909;;9,220;;50,660;;5,22;;984,3;;185,8;;5,70;;100,0;;3;;0,6;;
27.01.2019;07:00;6,787; ;8,736;;9,011;;50,954;;5,28;;983,4;;182,9;;5,36;;100,0;;48;;0,4;;
27.01.2019;08:00;6,981; ;7,938;;8,271;;53,221;;5,40;;982,8;;186,5;;5,70;;100,0;;34;;0,4;;
27.01.2019;09:00;7,160; ;8,018;;8,474;;54,151;;5,49;;982,3;;187,5;;5,27;;100,0;;16;;5,1;;
27.01.2019;10:00;7,304; ;9,185;;10,032;;52,343;;5,44;;981,8;;182,6;;4,18;;100,0;;22;;15,0;;
27.01.2019;11:00;7,480; ;8,629;;9,584;;52,775;;5,67;;981,5;;187,0;;5,03;;100,0;;24;;34,8;;
27.01.2019;12:00;7,666; ;8,105;;9,129;;54,471;;5,81;;981,3;;196,6;;4,69;;100,0;;43;;40,4;;
27.01.2019;13:00;7,795; ;7,564;;9,001;;54,882;;5,88;;980,9;;201,7;;4,48;;100,0;;41;;55,9;;
27.01.2019;14:00;7,749; ;6,762;;7,807;;57,161;;6,17;;980,5;;208,2;;4,28;;100,0;;25;;101,6;;
27.01.2019;15:00;7,752; ;6,939;;8,318;;58,573;;6,35;;980,4;;216,3;;4,95;;98,6;;2;;103,9;;
27.01.2019;16:00;7,782; ;6,784;;8,112;;57,050;;6,08;;980,5;;213,7;;3,79;;98,7;;0;;39,7;;
27.01.2019;17:00;7,749; ;8,002;;9,698;;51,254;;5,62;;981,0;;249,0;;2,98;;99,6;;15;;6,4;;
27.01.2019;18:00;7,739; ;8,515;;11,286;;47,889;;4,98;;981,8;;267,3;;2,89;;98,8;;0;;0,2;;
27.01.2019;19:00;7,779; ;7,403;;8,168;;54,949;;4,54;;982,4;;245,3;;3,64;;98,0;;0;;0,0;;
27.01.2019;20:00;7,689; ;6,648;;7,296;;57,358;;3,57;;982,9;;228,8;;3,84;;96,9;;0;;0,0;;
27.01.2019;21:00;7,505; ;6,759;;7,391;;52,396;;2,31;;983,3;;213,9;;3,52;;99,0;;0;;0,0;;
27.01.2019;22:00;7,412; ;8,067;;8,822;;46,074;;1,68;;983,5;;202,5;;2,66;;100,0;;0;;0,0;;
27.01.2019;23:00;7,205; ;8,466;;8,855;;46,846;;1,89;;983,6;;193,4;;3,94;;100,0;;0;;0,0;;
28.01.2019;00:00;6,924; ;7,741;;8,054;;49,120;;2,09;;983,7;;192,5;;3,95;;99,7;;0;;0,0;;
28.01.2019;01:00;6,743; ;;*;;*;;*;2,54;;983,9;;185,0;;4,14;;97,7;;0;;0,0;;
28.01.2019;02:00;6,588; ;8,272;;8,631;;47,595;;2,68;;984,2;;178,3;;3,79;;97,4;;0;;0,0;;
28.01.2019;03:00;6,592; ;8,920;;9,230;;46,401;;2,94;;984,2;;163,4;;3,92;;96,6;;0;;0,0;;
28.01.2019;04:00;6,608; ;10,323;;10,733;;44,083;;3,01;;984,2;;146,0;;2,86;;96,2;;0;;0,0;;
28.01.2019;05:00;6,559; ;11,169;;11,768;;42,534;;3,01;;984,2;;143,8;;2,90;;96,5;;0;;0,1;;
28.01.2019;06:00;6,533; ;17,420;;20,152;;35,353;;2,95;;984,5;;129,8;;1,58;;97,4;;0;;0,1;;
28.01.2019;07:00;6,623; ;13,076;;15,254;;36,307;;2,78;;984,8;;108,9;;1,44;;98,3;;0;;0,2;;
28.01.2019;08:00;6,851; ;18,371;;23,911;;28,747;;2,76;;985,3;;112,3;;0,98;;98,8;;0;;0,2;;
28.01.2019;09:00;7,167; ;10,871;;11,244;;29,133;;2,56;;986,1;;47,9;;0,53;;99,6;;5;;1,3;;
28.01.2019;10:00;7,489; ;13,681;;14,941;;20,159;;2,60;;987,0;;49,4;;0,55;;100,0;;0;;14,3;;
